qid,cid,query_ID,query,comment_ID,comment,label1,label2,label3,l1,l2,l3,sum
0,1,qid_0_cid_1,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2000742410,二战时德国人只能在空中觊觎一下伦敦。,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,2,qid_0_cid_2,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2028845650,二战的时候也没在伦敦牛B到哪去,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,3,qid_0_cid_3,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2040198150,除了汉诺威朝的英王本人，还有什么德国人在伦敦耀武扬威过？,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,4,qid_0_cid_4,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2042273710,二战以后，德国人在伦敦最耀武扬威的时刻。,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,5,qid_0_cid_5,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2016009230,二战之前有这么耀武扬威的时刻吗,好(+1),中(+0),中(+0),1,0,0,1
0,6,qid_0_cid_6,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2003485780,游吟在世界街头的灵魂歌者。,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,7,qid_0_cid_7,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2020836930,现在正在演《国王的演讲》！,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,8,qid_0_cid_8,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2018269610,拜托96年欧洲杯日耳曼人依旧霸气！伦敦上空的鹰,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,9,qid_0_cid_9,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2027123730,怎么还扯上战争了！,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,10,qid_0_cid_10,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2022250410,哈哈哈哈，中国人更把牛逼都炫耀到埃及法老像上去了,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,11,qid_0_cid_11,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2006262200,李老师在德国开什么会啊？,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,12,qid_0_cid_12,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2001961690,德国都是先种树在盖房,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,13,qid_0_cid_13,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2020135620,我愿意和你一起住在德国的森林里你愿意吗,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,14,qid_0_cid_14,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2026409050,老师去慕尼黑啤酒节，才知道德国人真幸运，他们都泡在啤酒里,差(-1),差(-1),差(-1),-1,-1,-1,-3
0,15,qid_0_cid_15,二战结束后，苏军士兵在德国街头强抢自行车，旁边的德国人在围观。,repos-cmnt-2009939520,不得不说，德国的军装在二战所有参战国里面是最帅的。,中(+0),差(-1),差(-1),0,-1,-1,-2
1,1,qid_1_cid_1,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2040052900,【7道美味丰胸食谱】JMs赶紧行动起来啊。,差(-1),中(+0),差(-1),-1,0,-1,-2
1,2,qid_1_cid_2,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2001032360,【7道美味丰胸食谱】小胸们赶紧行动起来啊。,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,3,qid_1_cid_3,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2000462510,女生必去的网站，不看会后悔，看了绝对超值！alink,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,4,qid_1_cid_4,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2028797050,最喜欢炖汤什么的啦。,差(-1),差(-1),中(+0),-1,-1,0,-2
1,5,qid_1_cid_5,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2000601320,我羡慕羡慕男人可以拥有这样的兄弟,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,6,qid_1_cid_6,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2040722450,这种你都不哎特我？,中(+0),差(-1),中(+0),0,-1,0,-1
1,7,qid_1_cid_7,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2037870280,该瘦的瘦，该肉的肉啰-O-,差(-1),中(+0),好(+1),-1,0,1,0
1,8,qid_1_cid_8,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2014351820,夏天快过去了，赶紧行动哦,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,9,qid_1_cid_9,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2027307160,夏天就要到了JMS一起减肥吧,中(+0),中(+0),中(+0),0,0,0,0
1,10,qid_1_cid_10,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2038662250,爱美的妹纸行动起来，夏天已经到了哦,中(+0),中(+0),中(+0),0,0,0,0
1,11,qid_1_cid_11,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2042993460,赶紧行动起来，OMG。,中(+0),好(+1),中(+0),0,1,0,1
1,12,qid_1_cid_12,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2018307710,夏天到了！我们很需要学习的——切西瓜技巧！,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,13,qid_1_cid_13,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2018952470,奥特曼，你这是肿么了，快起来啊！,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,14,qid_1_cid_14,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2010544890,夏天快到了，可以开缸了,差(-1),差(-1),差(-1),-1,-1,-1,-3
1,15,qid_1_cid_15,夏天快到了，JMs赶紧行动起来啊~,repos-cmnt-2035565650,夏天到了。转起来！,中(+0),中(+0),中(+0),0,0,0,0
2,1,qid_2_cid_1,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2027997300,许多人浪费了整整一生去等待符合他们心愿的机会。--尼采,差(-1),中(+0),差(-1),-1,0,-1,-2
2,2,qid_2_cid_2,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2002977080,许多人浪费了整整一生去等待符合他们心愿的机会,差(-1),中(+0),差(-1),-1,0,-1,-2
2,3,qid_2_cid_3,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2010159200,许多人浪费了整整一生去等待符合他们心愿的机会。——尼采,差(-1),中(+0),差(-1),-1,0,-1,-2
2,4,qid_2_cid_4,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2017335370,许多人浪费了整整一生去等待符合他们心愿的机会。,差(-1),中(+0),差(-1),-1,0,-1,-2
2,5,qid_2_cid_5,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2019140880,也是我最大的心愿！,好(+1),好(+1),差(-1),1,1,-1,1
2,6,qid_2_cid_6,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2012298990,父母健康是儿女的最大心愿,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,7,qid_2_cid_7,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2013692420,父母健康是儿女的最大心愿！,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,8,qid_2_cid_8,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2013692420,父母健康是儿女的最大心愿！,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,9,qid_2_cid_9,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2012298990,父母健康是儿女的最大心愿,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,10,qid_2_cid_10,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2000192720,父母健康是儿女的最大心愿。,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,11,qid_2_cid_11,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2024618870,父母身体健康是儿女的最大心愿,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,12,qid_2_cid_12,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2001148810,家人身体健康是我最大的心愿,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,13,qid_2_cid_13,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2000192720,父母健康是儿女的最大心愿。,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,14,qid_2_cid_14,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2000192720,父母健康是儿女的最大心愿。,差(-1),差(-1),差(-1),-1,-1,-1,-3
2,15,qid_2_cid_15,红会的人做慈善太累太辛苦了，听说许多人最大的心愿就是美美睡一觉,repos-cmnt-2032650310,平安健康是我最大的心愿,差(-1),中(+0),差(-1),-1,0,-1,-2
3,1,qid_3_cid_1,京东研发体系618店庆指挥部在紧张工作，为京东店庆促销保驾护航！,repos-cmnt-2041600480,京东这个店庆太没诚意,中(+0),中(+0),好(+1),0,0,1,1
3,2,qid_3_cid_2,京东研发体系618店庆指挥部在紧张工作，为京东店庆促销保驾护航！,repos-cmnt-2014658280,伤不起的京东店庆。,好(+1),中(+0),好(+1),1,0,1,2
3,3,qid_3_cid_3,京东研发体系618店庆指挥部在紧张工作，为京东店庆促销保驾护航！,repos-cmnt-2032459710,京东滚吧，看起来TM更像店庆,差(-1),中(+0),中(+0),-1,0,0,-1
